ID,SOURCE,SECTION,LINE,RULE,ENFORCED,MECHANISM,VERIFIED,ANCHOR_CORRECT,BINDS,EXECUTES_HERE,STILL_CURRENT,DISPOSITION,NOTE,MD_STATUS,CURRENT_LOCATION,LOSS_KIND
C043,CLAUDE.md,Documentation Structure,297,"If the user has not said done or reopen, the item stays in waiting-acceptance/",NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,"Same meaning via ""leaves when the founder accepts it"". || no mechanism exists",MOVED_MD,"docs/DoD.md:21,28-29",
C044,CLAUDE.md,Documentation Structure,299,done/ holds user-accepted work only,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,MECHANISE,|| no mechanism exists,MOVED_MD,docs/DoD.md:22,
C045,CLAUDE.md,Documentation Structure,302,Someday/maybe goes to backlog/; next-session work goes to doing/,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,DELETE-AS-ASPIRATION,|| no mechanism exists,MOVED_MD,docs/DoD.md:30-31,
C046,CLAUDE.md,Bug Management,322,"Every bug gets a sequential number (BUG-001, BUG-002)",TEST,tests/bug-numbers/bug-numbers.spec.ts:192-315,EXEC,UNSURE,ALL,YES,CURRENT,ALREADY-OK,"NEW since old audit: BUG-071 suite fails on two rows opening the same BUG number (same file or across states); ran green incl. fixture #1/#2 that report duplicates. Does not catch gaps or reuse of a number whose row was deleted (""never reused"" only partly anchored).",MOVED_MD,docs/DoD.md:93,
C047,CLAUDE.md,Bug Management,323,"Bugs are tracked across doing/, waiting-acceptance/ and done/ BUGS.md",TEST,"tests/lifecycle-docs/lifecycle-docs.ts:89-99,183-193 + tests/bug-numbers/bug-numbers.spec.ts:292",EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,Lifecycle-docs #3/#6 (committed bug has a row) plus bug-numbers (exactly one row). Old test.sh:50-56 dead.,MOVED_MD,docs/DoD.md:94-95,
C048,CLAUDE.md,Bug Management,324,Every bug fix MUST have a corresponding regression test,GATE,scripts/lib/dod-gate.sh:282-458 + .github/workflows/security.yml:249,EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,"Now also CI over every commit of a push (stage 2). Clone: commit ""BUG#9999: fix without test"" + row -> dod_stage_bugtests ""No test under the searched roots names: BUG-9999"" rc=1; after adding tests/zz/zz.spec.ts naming it -> rc=0. Only *.spec.ts/tsx count now.",MOVED_MD,docs/DoD.md:98-109,
C049,CLAUDE.md,Bug Management,325,Reference the bug number in the test name,GATE,scripts/lib/dod-gate.sh:423-425,EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,"find *.spec.ts|tsx -exec grep -laE ""BUG-0*N\b""; same clone proof as C048. Old :143 stale.",MOVED_MD,docs/DoD.md:98,
C050,CLAUDE.md,Bug Management,326,"No recurring bugs: if it is fixed, it stays fixed",GATE,scripts/lib/dod-gate.sh:282,READ,YES,ALL,YES,CURRENT,ALREADY-OK,Intent; the bugtests stage (gate+CI) and the suites running each push are the anchor.,MOVED_MD,docs/DoD.md:110-111,
C051,CLAUDE.md,Major Bug Process,333,Plan first for a major bug; do not jump to implementation,NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,|| no mechanism exists,MOVED_MD,docs/DoD.md:115-117,
C052,CLAUDE.md,Major Bug Process,335,"Document the plan in docs/doing/PLAN-BUG-0XX.md with root cause, files, tests, rollback",NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,MECHANISE,|| no mechanism exists,MOVED_MD,docs/DoD.md:117-119,
C053,CLAUDE.md,Major Bug Process,339,Implementation is NOT authorized until Codex and Claude both agree on the plan,NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,MECHANISE,"""Wait for Codex + Claude Code consensus"". Also DoD §1b.4 cross-provider review, labelled Judgement. || no mechanism exists",MOVED_MD,docs/DoD.md:119-120,
C054,CLAUDE.md,Major Bug Process,345,Plan files move with the work through the lifecycle states,TEST,tests/lifecycle-docs/lifecycle-docs.ts:134-142 + lifecycle-docs.spec.ts:132,EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,PLAN-BUG-*.md only; PLAN-TASK-*/PLAN-FEATURE-* not swept.,MOVED_MD,docs/DoD.md:68-70,
C055,CLAUDE.md,Team Workflow,352,Spawn specialized agents via the Agent tool with the right subagent_type,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,DELETE-AS-ASPIRATION,Also AGENTS.md:282-287 (subagent_type per persona; claude-agents.sh generates definitions but nothing requires using them). || no mechanism exists,IN_MD,CLAUDE.md:139,
C056,CLAUDE.md,Team Workflow,353,Delegate all non-trivial work to agents rather than fixing inline,NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,DELETE-AS-ASPIRATION,|| no mechanism exists,IN_MD,CLAUDE.md:140-141,
C057,CLAUDE.md,Team Workflow,355,Every bug fix needs a numbered entry in doing/BUGS.md plus a regression test,GATE,"scripts/lib/dod-gate.sh:132-164,282-458 + .github/workflows/security.yml:247-249",EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,"narrowed: ""row in doing/BUGS.md"" is now a row in any lifecycle BUGS.md (or a findings.md cancellation). Clone: ""BUG#9999"" commit with no row -> dod_stage_rows ""These items have NO backlog row anywhere: BUG-9999"" rc=1. Refusal text still says ""add a row under docs/backlog/, promote it"" (stale vs DoD §1b.2).",MOVED_MD,"docs/DoD.md:39-42,94,98",
C058,CLAUDE.md,Team Workflow,356,"Every commit subject STARTS with its backlog item (BUG#20:, FEATURE#3:, TASK#1:)",COMMIT-MSG,.githooks/commit-msg + scripts/lib/commit-subject.sh + .github/workflows/security.yml:239 (scripts/check-commit-subjects.sh --range),EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,"Clone: commit-msg on ""fix(BUG-123): thing"" -> ""commit-msg: REJECTED"" rc=1, ""TASK#22: thing"" rc=0. check-commit-subjects.sh --range HEAD~2..HEAD with a bad NON-tip commit -> ""check-commit-subjects: REJECTED got: bad subject no item"" rc=1. CI now checks every push commit, so BINDS ALL. ""One item per commit"" half is judgement (DoD.md:48-49).",IN_MD,CLAUDE.md:142-145,
C059,CLAUDE.md,Team Workflow,356,One item per commit,NONE,,NONE,YES,UNANCHORED,N/A,CURRENT,ALREADY-OK,"Also CLAUDE.md:142-145. DoD now says outright the hook reads only the subject 'so that part is yours' - honestly unchecked. commit-msg and CI check-commit-subjects check the subject prefix, not item count.",IN_MD,docs/DoD.md:45-49,
C060,CLAUDE.md,Team Workflow,356,"The commit body explains why, not what",NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,"Also CLAUDE.md:143 ('the body says why'). Prose quality, not labelled Judgement; no mechanism possible short of review.",IN_MD,docs/DoD.md:49,
C061,CLAUDE.md,Team Workflow,356,There is no such thing as a commit with no item,COMMIT-MSG,".githooks/commit-msg:89-98 + .github/workflows/security.yml:239-249 (check-commit-subjects.sh --range, dod_stage_rows)",EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,"Also CLAUDE.md:142-145. Now CI too (every commit of a push), so binds ALL. EXEC in scratch clone: `sh .githooks/commit-msg <'fix a thing'>` -> 'commit-msg: REJECTED ... must start with its backlog item' rc=1; empty msg -> 'the commit message is empty — refusing.' rc=1; `check-commit-subjects.sh --range HEAD~2..HEAD` with item-less non-tip commit -> 'check-commit-subjects: REJECTED got: no item here' rc=1. core.hooksPath=.githooks here. STALE REFUSAL TEXT: commit_subject_help still says 'add a row under docs/backlog/, promote it to docs/doing/, then commit', contradicting DoD §1b rule 2 (row lands in doing/ with first work commit, PLAN-TASK-022 §4 #4).",IN_MD,docs/DoD.md:39-42,
C062,CLAUDE.md,Team Workflow,357,"Bug fixes land as two commits: failing reproducer, then the fix",NONE,,NONE,YES,UNANCHORED,N/A,CURRENT,ALREADY-OK,"Narrowed per PLAN-TASK-022 §4 #14 (Q2): product/runtime bugs only, stash-verify procedure and exception list deleted, labelled *Judgement*; git log is the evidence. CI checks the BUG test exists (dod_stage_bugtests), not its commit order.",IN_MD,docs/DoD.md:124-126,
C063,CLAUDE.md,Team Workflow,358,"Trunk-based development only, no branches (product repos only)",NONE,,NONE,YES,UNANCHORED,N/A,CURRENT,ALREADY-OK,Also docs/DoD.md:61-64. The '(product repos only)' carve-out is gone: TASK-019 made the blueprint trunk-based too (CLAUDE.blueprint.md:31-72); external contributions are PRs via a2bp. Deliberately unenforced.,IN_MD,CLAUDE.md:146-148,
C064,CLAUDE.md,Team Workflow,363,Run and report test coverage before every commit/push,NONE,,NONE,N/A,UNANCHORED,N/A,CURRENT,DELETED,"PLAN-TASK-022 §4 #9 (Q1) deleted 'run and report coverage'. Does not matter: coverage is now the project's runner threshold (DoD.md:147-148), which fails on its own.",REMOVED_LOST,,DELIBERATE
C065,CLAUDE.md,Team Workflow,364,Coverage thresholds are enforced in the pre-push gate,GATE,".githooks/pre-push:636-648,654-664 (npm run test:coverage when backend/ or frontend/ exists)",READ,UNSURE,ALL-IF-ARMED,NEVER,CURRENT,LABEL-UNCHECKED,"Narrowed: 'declared in project_config_dod.md and enforced by its own test runner' (+ templates/project_config_dod.md:88 'pre-push hook blocks on this'). The gate only runs the project's test:coverage script; the threshold lives in the project's config. No backend/ or frontend/ here, so both stages pipe_skip on every push; this repo has no coverage threshold at all (tests/vitest.config.ts has no coverage block).",IN_MD,docs/DoD.md:147-148,
C066,CLAUDE.md,Team Workflow,365,"Measure coverage over the whole src tree, never a curated subset",NONE,,NONE,N/A,UNANCHORED,N/A,CURRENT,DELETED,"PLAN-TASK-022 §4 #9 (Q1). Matters mildly: templates/project_config_dod.md:82 now seeds a curated subset (include src/application/**, src/domain/**) — exactly the 'subset-metric theatre' the deleted rule forbade — so new projects inherit the pattern.",REMOVED_LOST,,DELIBERATE
C067,CLAUDE.md,Team Workflow,373,domain/application coverage >=90% statements and branches (greenfield),NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,Kept as the project-template 'Coverage mode' default (PLAN #9 said the template keeps it); also root project_config_dod.md. A placeholder for the project to wire into its runner; nothing in the blueprint measures it.,MOVED_MD,templates/project_config_dod.md:78,
C068,CLAUDE.md,Team Workflow,374,adapters coverage >=80%,NONE,,NONE,N/A,UNANCHORED,N/A,CURRENT,DELETED,"PLAN-TASK-022 §4 #9 (Q1, coverage tiers). Does not matter much: tier thresholds were never measured anywhere; projects declare their own.",REMOVED_LOST,,DELIBERATE
C069,CLAUDE.md,Team Workflow,376,CLI entry points coverage >=75%,NONE,,NONE,N/A,UNANCHORED,N/A,CURRENT,DELETED,"PLAN-TASK-022 §4 #9 (Q1, coverage tiers). Same as C068: never measured, projects declare their own.",REMOVED_LOST,,DELIBERATE
C070,CLAUDE.md,Team Workflow,378,Brownfield: start at the current true number and ratchet; never let a tier drop,NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,"Narrowed: one aggregate brownfield floor (>=70%, 'ratcheted; never let the number drop') with a {{N%}}/{{SHA}} placeholder, no per-tier ratchet. No stored baseline or check anywhere.",MOVED_MD,templates/project_config_dod.md:73-79,
C071,CLAUDE.md,Team Workflow,381,"Exclude only per-file, with a stated reason; never a wholesale directory exclude",NONE,,NONE,N/A,UNANCHORED,N/A,CURRENT,DELETED,"PLAN-TASK-022 §4 #9 (Q1). Matters mildly: templates/project_config_dod.md:83 now seeds a wholesale directory exclude (src/adapters/**), the exact pattern the deleted rule banned.",REMOVED_LOST,,DELIBERATE
C072,CLAUDE.md,Team Workflow,387,Mirror the coverage exclusion set into the static-analysis tool's exclusions,NONE,,NONE,N/A,UNANCHORED,N/A,CURRENT,DELETED,PLAN-TASK-022 §4 #9 (Q1). Low impact: no coverage exclusion set exists here; sonar-project.properties:32-37 only reads lcov and even cites a 'tests/vitest.config.ts coverage block' that does not exist (stale comment).,REMOVED_LOST,,DELIBERATE
