ID,SOURCE,SECTION,LINE,RULE,ENFORCED,MECHANISM,VERIFIED,ANCHOR_CORRECT,BINDS,EXECUTES_HERE,STILL_CURRENT,DISPOSITION,NOTE
C020,CLAUDE.md,Running commands,133,"Agent scratch lives in the project, in .scratch/",HOOK,.gitignore:120 + .gitattributes:61,EXEC,YES,CLAUDE-ONLY,UNKNOWN,UNKNOWN,ALREADY-OK,"Both mechanisms present and verified: gitignored and export-ignore'd, so scratch cannot reach a derived project."
C021,CLAUDE.md,Running commands,141,Write chained/quoted content to .scratch/ then run the file,HOOK,scripts/no-chain-guard.sh,EXEC,YES,CLAUDE-ONLY,UNKNOWN,UNKNOWN,ALREADY-OK,Enforced by consequence: the guard refuses the alternative. I followed this path for every probe in this audit.
C022,CLAUDE.md,Running commands,149,"A tooling workspace must be outside any git tree, made with mktemp -d, removed on every exit",TEST,tests/git-isolation/,READ,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,BUG-014 suite unsets GIT_* in fixtures; it does not assert that every mktemp -d workspace is cleaned on all exit paths.
C023,CLAUDE.md,Before Every Push,160,"The pre-push hook enforces build, lint and tests and blocks the push on failure",GATE,.githooks/pre-push:428-450,EXEC,NO,ALL-IF-ARMED,NEVER,UNKNOWN,MECHANISE,"VACUOUS HERE: no backend/ or frontend/ exists, so all four build/lint/format/coverage stages pipe_skip on every push. The claim is false for this repo. || no backend/ or frontend/ dir; both stages pipe_skip; tests/vitest.config.ts has no coverage key"
C024,CLAUDE.md,Before Every Push,170,Put project guards after BLUEPRINT:END; edits inside the region are lost at pull,TEST,tests/marker-merge/,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,Marker-merge suite pins that the managed region is replaced and the tail preserved byte-for-byte.
C025,CLAUDE.md,Before Every Push,172,Send an in-region edit upstream with blueprint a2bp instead,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Advisory routing instruction; the loss itself is what marker-merge pins. || no mechanism exists
C026,CLAUDE.md,Before Every Push,173,"A suite is two things: the files, and its invocation in the pre-push hook",TEST,tests/manifest/test.sh:706-732,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,manifest #7 fails the push if a runner on disk is not invoked by the gate AND by CI. This is the control that replaced SUITES.md.
C027,CLAUDE.md,Before Every Push,178,The gate only runs if core.hooksPath points at .githooks,GATE,scripts/lib/gate.sh:28-67,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"arm_gate arms it from the feed and blueprint drift, reports state, and will not overwrite a deliberate value. Verified: hooksPath=.githooks."
C028,CLAUDE.md,Before Every Push,192,Lint warning count is ratcheted; do not loosen --max-warnings without justification,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,"No eslint, no prettier, no root package.json in this repo. There is no --max-warnings to loosen, so the ratchet guards nothing. || no mechanism exists"
C029,CLAUDE.md,Before Every Push,193,"After pushing, watch CI; if red, fix before moving on",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,scripts/watch-ci.sh exists but nothing invokes it. A post-push hook or a Monitor on the run status is the right anchor. || no mechanism exists
C030,CLAUDE.md,Definition of Done,201,Walk the DoD Handoff checklist §A-§H before flipping the baton,GATE,scripts/lib/dod-gate.sh:94-207,EXEC,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,"Four of eight sections are staged; §D/§F/§H only PRINT. Also anchored to push, not to the baton flip the rule names."
C031,CLAUDE.md,Definition of Done,206,"If waiting-acceptance/ lacks the artefacts the signal claims, the handoff is not done",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Nothing correlates the baton's Task text with folder contents. A signal-set-time check against docs/waiting-acceptance/ is plausible. || no mechanism exists
C032,CLAUDE.md,Documentation Structure,227,A work item needing more than one file lives in its own folder under docs/<state>/,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,No suite counts files per item. Low value to mechanise. || no mechanism exists
C033,CLAUDE.md,Documentation Structure,233,Folder naming: BUG-XXX-<slug> / SPIKE-XX / SLICE-XX / SPRINT-YYYY-MM-DD,TEST,tests/lifecycle-docs/test.sh:60-66,READ,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,"lifecycle-docs greps ^BUG-[0-9]+ to find artefacts, so it only implicitly depends on the BUG- form; SPIKE/SLICE/SPRINT are unchecked."
C034,CLAUDE.md,Documentation Structure,237,The whole item folder travels together through doing/ to waiting-acceptance/ to done/,TEST,tests/lifecycle-docs/test.sh:78-84,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,Assertion #3 fails when an artefact folder is stranded away from its row. Correctly anchored: it is a filesystem property.
C035,CLAUDE.md,Documentation Structure,240,No spike / prototype / mockup code under production src/,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"No src/ exists here, but generically a path guard in the gate could assert it. Highest-value unmechanised rule in this section. || no mechanism exists"
C036,CLAUDE.md,Documentation Structure,243,"A promoted spike arm is re-implemented into src/, never mv'd wholesale",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Indistinguishable from a copy after the fact; only review can see it. || no mechanism exists
C037,CLAUDE.md,Documentation Structure,256,"Every backlog row carries KEEP, DEFER or OBSOLETE",NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,Grepped lifecycle-docs and dod-gate: no state-column check exists. A column assertion over docs/backlog/*.md is a five-line gate stage. || no mechanism exists
C038,CLAUDE.md,Documentation Structure,259,"Items leave backlog only by promotion, or cancellation with a findings.md pointer",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,A deleted row leaves no trace to check. Could diff backlog rows against findings.md on the push range. || no mechanism exists
C039,CLAUDE.md,Documentation Structure,266,"Once the fix is on main, move the row and PLAN to waiting-acceptance/",GATE,scripts/lib/dod-gate.sh:106,EXEC,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,"Only a pipe_note: ""rows outside doing/"". It deliberately does not fail, so the move remains discretionary. Ran it and saw the NOTE."
C040,CLAUDE.md,Documentation Structure,286,Claude does NOT auto-promote to done/; only the founder's signal moves it,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Nothing distinguishes an agent's move from a founder-directed one. A commit-trailer requirement on done/ moves would anchor it. || no mechanism exists
C041,CLAUDE.md,Documentation Structure,293,Every parked item carries a re-open trigger or an OBSOLETE marker,NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same anchor as the KEEP/DEFER/OBSOLETE row above; both are column checks on the backlog tables. || no mechanism exists
C042,CLAUDE.md,Documentation Structure,295,Never skip waiting-acceptance/,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Checkable as a transition guard: a row appearing in done/ that was never in waiting-acceptance/ in git history. || no mechanism exists
C043,CLAUDE.md,Documentation Structure,297,"If the user has not said done or reopen, the item stays in waiting-acceptance/",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Requires knowing what the founder said; not repo-observable. || no mechanism exists
C044,CLAUDE.md,Documentation Structure,299,done/ holds user-accepted work only,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same mechanism as the never-skip rule. || no mechanism exists
C045,CLAUDE.md,Documentation Structure,302,Someday/maybe goes to backlog/; next-session work goes to doing/,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,A judgement about intent. || no mechanism exists
C046,CLAUDE.md,Bug Management,322,"Every bug gets a sequential number (BUG-001, BUG-002)",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,No gap/duplicate check exists. A trivial scan of the four BUGS.md files would catch a reused number. || no mechanism exists
C047,CLAUDE.md,Bug Management,323,"Bugs are tracked across doing/, waiting-acceptance/ and done/ BUGS.md",TEST,tests/lifecycle-docs/test.sh:50-56,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,recorded_here() asserts an item's disposition is recorded in the folder holding its artefacts.
C048,CLAUDE.md,Bug Management,324,Every bug fix MUST have a corresponding regression test,GATE,scripts/lib/dod-gate.sh:124-165,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"Ran it: ""regression tests found for: BUG-55 BUG-64"", parked bugs correctly excused. Fails the push when no test names the bug."
C049,CLAUDE.md,Bug Management,325,Reference the bug number in the test name,GATE,scripts/lib/dod-gate.sh:143,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"grep -rqE ""BUG-0*N\b"" tests/ is exactly the rule's mechanical content. BUG-040 fixed a BRE/ERE bug that made this vacuous on macOS."
C050,CLAUDE.md,Bug Management,326,"No recurring bugs: if it is fixed, it stays fixed",GATE,scripts/lib/dod-gate.sh:124,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,This is what the regression-test stage buys; the rule is the intent and the stage is the anchor.
C051,CLAUDE.md,Major Bug Process,333,Plan first for a major bug; do not jump to implementation,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"Major is a judgement (core USP path, or a failed prior attempt) that no gate can classify. || no mechanism exists"
C052,CLAUDE.md,Major Bug Process,335,"Document the plan in docs/doing/PLAN-BUG-0XX.md with root cause, files, tests, rollback",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,A section-heading check on PLAN-BUG-*.md is cheap and would at least assert the five required parts exist. || no mechanism exists
C053,CLAUDE.md,Major Bug Process,339,Implementation is NOT authorized until Codex and Claude both agree on the plan,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,No provenance record of a review exists. A required review trailer or a signed-off row in the plan file is the plausible anchor. || no mechanism exists
C054,CLAUDE.md,Major Bug Process,345,Plan files move with the work through the lifecycle states,TEST,tests/lifecycle-docs/test.sh:68-75,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,PLAN-BUG-*.md is explicitly included in assertion #3's artefact sweep.
C055,CLAUDE.md,Team Workflow,352,Spawn specialized agents via the Agent tool with the right subagent_type,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Not repo-observable and not obviously desirable to force. || no mechanism exists
C056,CLAUDE.md,Team Workflow,353,Delegate all non-trivial work to agents rather than fixing inline,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Unobservable. TASK-014 tested this behaviourally rather than mechanically. || no mechanism exists
C057,CLAUDE.md,Team Workflow,355,Every bug fix needs a numbered entry in doing/BUGS.md plus a regression test,GATE,scripts/lib/dod-gate.sh:94-165,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"Both halves staged and verified non-vacuous; the row half only NOTEs the folder, the existence half fails."
C058,CLAUDE.md,Team Workflow,356,"Every commit subject STARTS with its backlog item (BUG#20:, FEATURE#3:, TASK#1:)",COMMIT-MSG,.githooks/commit-msg:84 + scripts/lib/commit-subject.sh,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"Ran the hook: rejected fix(BUG-123):, accepted TASK#22:, and fails closed on an empty or unreadable message. Also checked in CI on the PR title."
C059,CLAUDE.md,Team Workflow,356,One item per commit,NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"CLAUDE.md concedes the hook cannot check it. Only commit-msg could, and it cannot see the diff; anywhere later the remedy is a history rewrite. || no mechanism exists"
C060,CLAUDE.md,Team Workflow,356,"The commit body explains why, not what",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Prose quality; no mechanism short of a reviewer. || no mechanism exists
C061,CLAUDE.md,Team Workflow,356,There is no such thing as a commit with no item,COMMIT-MSG,.githooks/commit-msg:88,EXEC,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,Same verified hook; the empty-subject and unreadable-file branches both exit 1.
C062,CLAUDE.md,Team Workflow,357,"Bug fixes land as two commits: failing reproducer, then the fix",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Nothing checks commit pairing or that the test failed on the parent. A gate stage could re-run the named test at HEAD~1 for BUG items. || no mechanism exists
C063,CLAUDE.md,Team Workflow,358,"Trunk-based development only, no branches (product repos only)",NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,"Deliberately unenforced, and §""The blueprint's main is its trunk"" removed the guard that used to enforce the inverse here. || no mechanism exists"
C064,CLAUDE.md,Team Workflow,363,Run and report test coverage before every commit/push,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"THE TRIGGER FOR THIS AUDIT. The only coverage stages are backend/ and frontend/; neither dir exists, both pipe_skip every push, and tests/vitest.config.ts has no coverage block at all. || no mechanism exists"
C065,CLAUDE.md,Team Workflow,364,Coverage thresholds are enforced in the pre-push gate,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Asserts a mechanism that does not fire. Anchor: a coverage stage over the code this repo actually has (scripts/, .githooks/) or an honest declaration that shell is uncovered. || no mechanism exists"
C066,CLAUDE.md,Team Workflow,365,"Measure coverage over the whole src tree, never a curated subset",NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,No coverage config exists to hold an include glob. Vacuous twice over. || no mechanism exists
C067,CLAUDE.md,Team Workflow,373,domain/application coverage >=90% statements and branches (greenfield),NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Threshold with no measurement behind it. Belongs in a vitest coverage.thresholds block. || no mechanism exists
C068,CLAUDE.md,Team Workflow,374,adapters coverage >=80%,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same as above. || no mechanism exists
C069,CLAUDE.md,Team Workflow,376,CLI entry points coverage >=75%,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same as above. || no mechanism exists
C070,CLAUDE.md,Team Workflow,378,Brownfield: start at the current true number and ratchet; never let a tier drop,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,A ratchet needs a stored baseline; none exists in the repo. || no mechanism exists
C071,CLAUDE.md,Team Workflow,381,"Exclude only per-file, with a stated reason; never a wholesale directory exclude",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Checkable once a coverage config exists: reject directory globs in the exclude list. || no mechanism exists
C072,CLAUDE.md,Team Workflow,387,Mirror the coverage exclusion set into the static-analysis tool's exclusions,NONE,,EXEC,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,sonar-project.properties exists but there is no coverage exclusion set to mirror. A cross-file equality check is the anchor. || no mechanism exists
C073,CLAUDE.md,Team Workflow,390,"The project declares coverage mode, thresholds and --coverage invocation in project_config_dod.md",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,A placeholder/completeness check on that section would at least force the declaration to exist. || no mechanism exists
C074,CLAUDE.md,Team Workflow,393,Never push over the ratcheted ESLint --max-warnings threshold,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,"No eslint binary, no config, no package.json. The named enforcer (.githooks/pre-push) skips the stage entirely. || no mechanism exists"
C075,CLAUDE.md,Team Workflow,395,Always run ESLint and Prettier --check in the pre-push gate; both are blocking,NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Says ""always"" and ""blocking"" about stages that pipe_skip on every push here. Second-worst false claim after coverage. || no mechanism exists"
C076,CLAUDE.md,Team Workflow,398,Auto-format locally before pushing; CI never rewrites files,CI,.github/workflows/security.yml,READ,YES,ALL,UNKNOWN,UNKNOWN,ALREADY-OK,No CI job writes to the tree; the negative half holds by construction. The positive half (format locally) has no local formatter to run.
C077,CLAUDE.md,Test Layers,403,"Test layer determines filename suffix, location and the stage that runs it",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,A naming-convention table. tests/manifest asserts runners are under tests/<suite>/ but not the suffix taxonomy. || no mechanism exists
C078,CLAUDE.md,Test directory layout,418,Unit and integration tests are co-located with the source file they test,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,No src/ in this repo. Generically a path check could assert every src file's test is its sibling. || no mechanism exists
C079,CLAUDE.md,Test directory layout,425,Snapshot and E2E tests live separately under tests/,TEST,tests/manifest/test.sh:338,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"manifest fails when a runner sits outside tests/<suite>/ (""Move each into tests/<suite>/"")."
C080,CLAUDE.md,Test directory layout,430,"Shared helpers, mocks and fixtures live under tests/helpers/, never co-located",NONE,,EXEC,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"tests/helpers/ exists and is used, but nothing rejects a co-located helper. || no mechanism exists"
C081,CLAUDE.md,Test directory layout,436,vitest include covers both src/**/*.test.ts and tests/**/*.test.ts,TEST,tests/manifest/test.sh (include-glob assertion #4),READ,NO,ALL-IF-ARMED,UNKNOWN,STALE,MECHANISE,"manifest #4 asserts the glob still reaches the specs, but the actual config include is '**/*.spec.ts' rooted at tests/ - it never covers src/. Prose and config disagree. || actual vitest include is **/*.spec.ts rooted at tests/"
C082,CLAUDE.md,Test directory layout,440,Exclude src/**/*.test.ts from eslint-plugin-boundaries enforcement,NONE,,NONE,UNSURE,UNANCHORED,N/A,STALE,LABEL-UNCHECKED,Conditional on a linter this repo does not have. || no mechanism exists; actual vitest include is **/*.spec.ts rooted at tests/
C083,CLAUDE.md,Snapshot tests,449,CI never runs with -u / --update-snapshots,NONE,,EXEC,YES,UNANCHORED,N/A,UNKNOWN,MECHANISE,Grepped .github/ and .githooks/: no snapshot flag appears anywhere. A one-line grep guard over workflow files is the natural anchor. || no mechanism exists
C084,CLAUDE.md,Snapshot tests,450,"The only path to a snapshot update is local approve, commit, PR review of the diff",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Follows from the -u ban plus review; the ban is the mechanisable half. || no mechanism exists
C085,CLAUDE.md,Pre-push tolerance,456,There is no hard wall-clock ceiling on the pre-push gate,GATE,scripts/lib/pipeline.sh:506-540,READ,YES,ALL-IF-ARMED,UNKNOWN,STALE,MECHANISE,"True of pipeline.sh, but .githooks/pre-push:198 and :262 still argue from ""the <=30s gate ceiling in CLAUDE.md is unconditional"". Stale rationale inside a live gate. || BUG-005 removed the ceiling; CLAUDE.md says there is none"
C086,CLAUDE.md,Pre-push tolerance,469,Never demote a suite to CI-only to fit a time budget,TEST,tests/manifest/test.sh:706-732,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"A runner must be invoked by the gate AND by CI, so demotion fails the push. This is the control that made the rule real."
C087,CLAUDE.md,Pre-push tolerance,472,tests/manifest fails the push if a runner is not invoked by the gate and by CI,TEST,tests/manifest/test.sh:725-732,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,Verified by reading _ci_sh_invoked and the gate-side equivalent; it also checks the .gitattributes export boundary.
C088,CLAUDE.md,Pre-push tolerance,480,"The gate reports total and slowest stage, warning past 120s total / 45s per stage",GATE,scripts/lib/pipeline.sh:528-529,READ,YES,ALL-IF-ARMED,UNKNOWN,STALE,MECHANISE,"MECHANISM LIES: the code uses 180000ms total and 95000ms per stage. CLAUDE.md and DoD.md §3 both state 120/45. The reporting half is real. || pipeline.sh:528-529 uses 180000ms/95000ms, not 120s/45s"
C089,CLAUDE.md,Pre-push tolerance,484,"If the gate becomes painful, fix the slow suite rather than moving it",NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,"Advisory by design; the SLO warns and manifest blocks the alternative, which together are the intended anchor. || no mechanism exists"
C090,CLAUDE.md,Quality,501,"A brittle fix stitched from overlapping fallbacks is a deferred regression, not a fix",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,"Irreducibly a judgement. Keep as documentation, not as a control. || no mechanism exists"
C091,CLAUDE.md,Quality,505,Escalate for redesign when adding a third fallback layer,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,"Same class; no mechanism can count ""fallback layers"". || no mechanism exists"
C092,CLAUDE.md,Quality,510,Pick the most evolutionary solution; remove surface area rather than add it,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Judgement. || no mechanism exists
C093,CLAUDE.md,Quality,516,"Acceptance is ""would show it to someone else"", not ""the test passes""",NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,Deliberately human: the founder's acceptance step IS this rule's anchor. || no mechanism exists
C094,CLAUDE.md,Quality,520,When in doubt prefer the clean rewrite; document why and get Codex alignment first,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,The Codex-alignment half is the same unenforced cross-provider review as DoD §F. || no mechanism exists
C095,CLAUDE.md,Observability,534,Every error path is captured; no silent swallowing or success-returning catch,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,A semgrep rule for empty/success-returning catch blocks is the obvious anchor and semgrep already runs in the gate. || no mechanism exists
C096,CLAUDE.md,Observability,537,Every captured error is agent-queryable; the agent looks before asking the founder,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Requires a project runtime. Blueprint-level it can only be a declaration check. || no mechanism exists
C097,CLAUDE.md,Observability,541,Every shipped capability is alertable; threshold and destination in project_config_dod.md,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,MECHANISE,Checkable as a non-placeholder declaration in that file. || no mechanism exists
C098,CLAUDE.md,Observability,544,The agent diagnoses first; humans are not the first responder,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,Behavioural. || no mechanism exists
